Area,Item,Crop_Values,Element,Year,Continent,Flag Description
Austria,Cucumbers and gherkins,1602.0,Area harvested,1961,Europe,Official figure
Austria,Cucumbers and gherkins,13608.0,Yield,1961,Europe,Official figure
Austria,Cucumbers and gherkins,21800.0,Production,1961,Europe,Official figure
Austria,Cucumbers and gherkins,1727.0,Area harvested,1962,Europe,Official figure
Austria,Cucumbers and gherkins,16221.8,Yield,1962,Europe,Official figure
Austria,Cucumbers and gherkins,28015.0,Production,1962,Europe,Official figure
Austria,Cucumbers and gherkins,2404.0,Area harvested,1963,Europe,Official figure
Austria,Cucumbers and gherkins,18821.5,Yield,1963,Europe,Official figure
Austria,Cucumbers and gherkins,45247.0,Production,1963,Europe,Official figure
Austria,Cucumbers and gherkins,1771.0,Area harvested,1964,Europe,Official figure
Austria,Cucumbers and gherkins,15634.1,Yield,1964,Europe,Official figure
Austria,Cucumbers and gherkins,27688.0,Production,1964,Europe,Official figure
Austria,Cucumbers and gherkins,1890.0,Area harvested,1965,Europe,Official figure
Austria,Cucumbers and gherkins,16256.1,Yield,1965,Europe,Official figure
Austria,Cucumbers and gherkins,30724.0,Production,1965,Europe,Official figure
Austria,Cucumbers and gherkins,2262.0,Area harvested,1966,Europe,Official figure
Austria,Cucumbers and gherkins,20442.5,Yield,1966,Europe,Official figure
Austria,Cucumbers and gherkins,46241.0,Production,1966,Europe,Official figure
Austria,Cucumbers and gherkins,2581.0,Area harvested,1967,Europe,Official figure
Austria,Cucumbers and gherkins,21762.5,Yield,1967,Europe,Official figure
Austria,Cucumbers and gherkins,56169.0,Production,1967,Europe,Official figure
Austria,Cucumbers and gherkins,2521.0,Area harvested,1968,Europe,Official figure
Austria,Cucumbers and gherkins,18980.2,Yield,1968,Europe,Official figure
Austria,Cucumbers and gherkins,47849.0,Production,1968,Europe,Official figure
Austria,Cucumbers and gherkins,2115.0,Area harvested,1969,Europe,Official figure
Austria,Cucumbers and gherkins,19456.3,Yield,1969,Europe,Official figure
Austria,Cucumbers and gherkins,41150.0,Production,1969,Europe,Official figure
Austria,Cucumbers and gherkins,2063.0,Area harvested,1970,Europe,Official figure
Austria,Cucumbers and gherkins,22512.4,Yield,1970,Europe,Official figure
Austria,Cucumbers and gherkins,46443.0,Production,1970,Europe,Official figure
Austria,Cucumbers and gherkins,2107.0,Area harvested,1971,Europe,Official figure
Austria,Cucumbers and gherkins,22022.3,Yield,1971,Europe,Official figure
Austria,Cucumbers and gherkins,46401.0,Production,1971,Europe,Official figure
